GO_ID	Constraint_Type	Taxon_ID
GO:0000001	only_in_taxon	NCBITaxon_2759
GO:0000011	never_in_taxon	NCBITaxon_4896
GO:0000015	only_in_taxon	NCBITaxon_131567
GO:0000022	only_in_taxon	NCBITaxon_2759
GO:0000027	only_in_taxon	NCBITaxon_131567
GO:0000028	only_in_taxon	NCBITaxon_131567
GO:0000032	never_in_taxon	NCBITaxon_7742
GO:0000045	only_in_taxon	NCBITaxon_2759
GO:0000054	only_in_taxon	NCBITaxon_2759
GO:0000055	only_in_taxon	NCBITaxon_2759
GO:0000056	only_in_taxon	NCBITaxon_2759
GO:0000070	only_in_taxon	NCBITaxon_2759
GO:0000073	only_in_taxon	NCBITaxon_4751
GO:0000075	only_in_taxon	NCBITaxon_2759
GO:0000076	only_in_taxon	NCBITaxon_2759
GO:0000077	only_in_taxon	NCBITaxon_2759
GO:0000082	only_in_taxon	NCBITaxon_2759
GO:0000086	only_in_taxon	NCBITaxon_2759
GO:0000105	never_in_taxon	NCBITaxon_7742
GO:0000109	only_in_taxon	NCBITaxon_2759
GO:0000110	only_in_taxon	NCBITaxon_2759
GO:0000111	only_in_taxon	NCBITaxon_2759
GO:0000112	only_in_taxon	NCBITaxon_2759
GO:0000113	only_in_taxon	NCBITaxon_2759
GO:0000118	only_in_taxon	NCBITaxon_2759
GO:0000120	only_in_taxon	NCBITaxon_2759
GO:0000123	only_in_taxon	NCBITaxon_131567
GO:0000124	only_in_taxon	NCBITaxon_2759
GO:0000128	never_in_taxon	NCBITaxon_33090
GO:0000128	never_in_taxon	NCBITaxon_33208
GO:0000131	only_in_taxon	NCBITaxon_131567
GO:0000131	never_in_taxon	NCBITaxon_4895
GO:0000132	only_in_taxon	NCBITaxon_2759
GO:0000133	only_in_taxon	NCBITaxon_131567
GO:0000136	only_in_taxon	NCBITaxon_2759
GO:0000137	only_in_taxon	NCBITaxon_2759
GO:0000138	only_in_taxon	NCBITaxon_2759
GO:0000139	only_in_taxon	NCBITaxon_2759
GO:0000142	only_in_taxon	NCBITaxon_2759
GO:0000142	never_in_taxon	NCBITaxon_4895
GO:0000144	only_in_taxon	NCBITaxon_131567
GO:0000144	never_in_taxon	NCBITaxon_4895
GO:0000145	only_in_taxon	NCBITaxon_131567
GO:0000147	only_in_taxon	NCBITaxon_4751
GO:0000152	only_in_taxon	NCBITaxon_2759
GO:0000153	only_in_taxon	NCBITaxon_131567
GO:0000159	only_in_taxon	NCBITaxon_131567
GO:0000162	never_in_taxon	NCBITaxon_9606
GO:0000164	only_in_taxon	NCBITaxon_131567
GO:0000165	only_in_taxon	NCBITaxon_2759
GO:0000176	only_in_taxon	NCBITaxon_2759
GO:0000177	only_in_taxon	NCBITaxon_131567
GO:0000178	only_in_taxon	NCBITaxon_131567
GO:0000183	only_in_taxon	NCBITaxon_131567
GO:0000196	only_in_taxon	NCBITaxon_2759
GO:0000212	only_in_taxon	NCBITaxon_2759
GO:0000214	only_in_taxon	NCBITaxon_2759
GO:0000220	only_in_taxon	NCBITaxon_131567
GO:0000221	only_in_taxon	NCBITaxon_131567
GO:0000228	only_in_taxon	NCBITaxon_2759
GO:0000235	only_in_taxon	NCBITaxon_131567
GO:0000242	only_in_taxon	NCBITaxon_131567
GO:0000242	never_in_taxon	NCBITaxon_27896
GO:0000242	never_in_taxon	NCBITaxon_33090
GO:0000242	never_in_taxon	NCBITaxon_4751
GO:0000243	only_in_taxon	NCBITaxon_2759
GO:0000244	only_in_taxon	NCBITaxon_2759
GO:0000245	only_in_taxon	NCBITaxon_2759
GO:0000262	only_in_taxon	NCBITaxon_2759
GO:0000278	only_in_taxon	NCBITaxon_2759
GO:0000281	only_in_taxon	NCBITaxon_2759
GO:0000282	only_in_taxon	NCBITaxon_4751
GO:0000308	only_in_taxon	NCBITaxon_131567
GO:0000311	only_in_taxon	NCBITaxon_131567
GO:0000311	never_in_taxon	NCBITaxon_2
GO:0000311	never_in_taxon	NCBITaxon_2157
GO:0000311	never_in_taxon	NCBITaxon_28009
GO:0000311	never_in_taxon	NCBITaxon_33208
GO:0000311	never_in_taxon	NCBITaxon_4751
GO:0000311	never_in_taxon	NCBITaxon_554915
GO:0000312	only_in_taxon	NCBITaxon_131567
GO:0000312	never_in_taxon	NCBITaxon_2
GO:0000312	never_in_taxon	NCBITaxon_2157
GO:0000312	never_in_taxon	NCBITaxon_28009
GO:0000312	never_in_taxon	NCBITaxon_33208
GO:0000312	never_in_taxon	NCBITaxon_4751
GO:0000312	never_in_taxon	NCBITaxon_554915
GO:0000313	only_in_taxon	NCBITaxon_131567
GO:0000314	only_in_taxon	NCBITaxon_131567
GO:0000315	only_in_taxon	NCBITaxon_131567
GO:0000321	only_in_taxon	NCBITaxon_4751
GO:0000322	only_in_taxon	NCBITaxon_131567
GO:0000323	only_in_taxon	NCBITaxon_131567
GO:0000324	only_in_taxon	NCBITaxon_4751
GO:0000325	only_in_taxon	NCBITaxon_33090
GO:0000326	only_in_taxon	NCBITaxon_33090
GO:0000327	only_in_taxon	NCBITaxon_33090
